created_at,text
2022-07-25 21:38:48+00:00,But you know what's really amazing What you're saying about these women who are trying to get abortions they wouldn't have to get the abortion if they didn't hang out with Smuts like you 
2022-07-25 20:55:30+00:00,"Wow Matt Gaetz doubles down on his misogyny

Youre suggesting the women at these abortion rallies are ugly &amp; overweight?

Rapey McForehead: Yes

What do you say to ppl who think those comments are offensive?

McForehead: Be offended

Says the guy who has to pay for sex"
2022-07-25 20:17:02+00:00,University of Michigan students walk out on anti-abortion keynote speaker Kristin Collier  via 
2022-07-25 15:20:56+00:00," is airing a commercial that uses a real adopted child (no older than high school) to support the overturn of Roe and say that she could have been an abortion but a nice family saved her.

I watched it days ago and am still physically sick over it "
2022-07-25 03:50:55+00:00, Mmm  veggie lunch after an abortion
2022-07-24 17:48:24+00:00,Use a contraceptive to prevent unwanted pregnancy not abortion to kill a living human being.   
2022-07-24 04:31:01+00:00,"Matt Gaetz thinks women who support abortion rights are too ugly to need them

Trump says he couldnt have raped his victims cuz they werent his type

Republicans believe the rape of a 10-yr-old is an opportunity

Ladies, they hate us because they fear us"
2022-07-24 00:32:40+00:00,"This is a really meandering, unnecessarily long ripoff and inversion of a George Carlin joke that was also markedly less sexist: ""Why is it that most of the people who are against abortion are people you wouldn't want to f&amp;$% in the first place?"" "
2022-07-23 14:01:51+00:00, Glad they decided to change their Allowing Misinformation Related to Abortion policy
2022-07-22 13:39:33+00:00," Not really, especially to YTFs w degrees in the burbs, they abortion ruling ending roe and their right to control their bodies being nuked after 50yrs of precedent, thats an impossible issue to overlook and not superseded by inflation, Philly crime, CRT or the border, etc."
2022-07-22 13:26:03+00:00," Abortion, abortion and abortion+now pissed off, educated YTFs w college degrees in the burbs=now lost forever for Rs in PAGovRace. Mastriano=a horrible choice, esp post Roe. Abortion wasnt an issue, until SCOTUS made it a way to torpedo what should be an R slam dunk, nationwide."
2022-07-22 10:45:30+00:00, Wait a minute. I'm against abortion. Who are you to take a life given by God? 
2022-07-21 16:52:23+00:00," I'm unapologetically pro abortion, and have no issue with the fetus being alive and a human being, because, for me, that's not the point. A fetus is not a person, and is a part of the mother's body, period.

These people accept the holy trinity but can't figure that out?"
2022-07-21 15:01:22+00:00,"The PA governor's race is a referendum on protecting bodily autonomy and civil rights. Vote  if you think women are people. 

"
2022-07-21 14:30:38+00:00, . your have horrible takes on just about everything you speak i your comments about abortion and slavery are laughable at best a fetus has no value its not real person/baby until its born no one cares about a damn heart beat
2022-07-21 04:11:49+00:00,"Mike Pence is no hero

Stop showering him with praise for simply doing his job

Hes a wholly underwhelming dude with a below average intellect who seeks to force Christian extremism on the rest of us

Stupidity &amp; religious fanaticism often go hand in hand
"
2022-07-21 00:00:35+00:00,"Pregnant women in Missouri cant get a divorce

A 10-yr-old rape victim in Ohio couldnt get an abortion

A dying woman in Texas couldnt get an abortion

A woman with a dead fetus in her womb couldnt get an abortion

This is REAL life under the Republican ChristoFascist regime"
2022-07-20 20:53:34+00:00,It should never have come to this but thank goodness people are working on it. 
2022-07-20 16:50:26+00:00, Sad part is a lot more of this might start happening because of this abortion ban I just hope people just leave the baby at the hospital and get in no trouble and the baby would be safe and possibly adopted
2022-07-20 16:42:58+00:00,"   Most people would agree smoking in public should be banned and it is in most places because 2nd hand smoke can be harmful, even fatal.Bodily autonomy does not apply here. Its your choice to smoke but its harmful to the public. Vaccine=public health
Abortion=private health"
2022-07-20 15:32:04+00:00," By the same token, rich people are less affected by state abortion bans because (at least for now) they can get them in other states. For abortions, any state you can get to will do, but marriages have to work everywhere."
2022-07-20 14:57:17+00:00,"  Theyre the same people who oppose abortion. Its real simple, they never need to get one or pay for one but for those who need it? Mind youre own business. 
Now, after gay marriage, can we prioritize womens healthcare and human rights please?"
2022-07-20 13:48:37+00:00,  I know die hard Rep women w/ Masters degrees or MDs- theyre angry about his not even for rape cases remarks (theyll vote but will skip his box) regardless if were going to like it or not you need some form of early abortion policy. He he softens his view. He wins hands down.
