created_at,text
2022-07-25 22:04:39+00:00,I am not against abortion if you are a pregnant man!
2022-07-25 21:50:23+00:00,"Protesters gather at Statehouse to demand abortion stay safe, legal and accessible | news - Indiana Public Media "
2022-07-25 21:42:49+00:00,"I agreed with Harbaugh, but that's beside the point. I want him in the news for figuring out how to beat Sparty. Nothing is gained by my knowing his political views. I don't need him to validate my druthers on abortion, you know? "
2022-07-25 21:00:27+00:00,Indiana Senate lawmakers begin special session with testimony on abortion ban | news - Indiana Public Media 
2022-07-25 20:04:05+00:00,States cracking down on abortion have high maternal mortality rates and gaps in rural care | news - Indiana Public Media 
2022-07-25 18:37:56+00:00,Vice President Harris to visit Indiana Monday as lawmakers discuss abortion ban | news - Indiana Public Media 
2022-07-25 17:07:56+00:00," They're pushing so hard on this religious notion, they're going to end up getting abortion banned nationwide."
2022-07-25 16:27:09+00:00,"More than 1,000 health care workers are worried about Indianas proposed abortion law | news - Indiana Public Media "
2022-07-25 15:59:18+00:00,Pro-Abortion Rights Groups to Rally at Statehouse Monday | news - Indiana Public Media 
2022-07-24 18:53:05+00:00,"Matt Gaetz gives a disgusting, misogynistic speech to students at Turning Point USA. Lets hope he doesnt traffic some of them across state lines.    via "
2022-07-24 11:57:26+00:00,     Your words carrying a fetus explains your stance on abortion. That is your and the democrats agenda. You fail to explain why/that most of the pro-life protesters are WOMEN! Explain that!
2022-07-23 13:46:30+00:00,  Women must have the freedom to decide about what to do about abortion and their bodies. And Catholic schools should not isolate LGBTQ students. I graduated from a Catholic HS.
2022-07-23 10:20:26+00:00,"

Amazon, Starbucks and other companies say they'll pay for employees' abortion travel post-Roe. Why do they still donate to Republicans who led us to this trave..."
2022-07-22 23:29:16+00:00,"

The California governor signed a gun control bill Friday that mimics Texas' abortion ban. He also unveiled an ad targeting Texas Gov. Greg Abbott."
2022-07-22 21:57:20+00:00,Indiana anti-abortion group calls proposed ban bill weak | news - Indiana Public Media 
2022-07-22 20:08:16+00:00,Indiana businesses sign letter supporting abortion access | news - Indiana Public Media 
2022-07-22 12:29:56+00:00,"

California Gov. Gavin Newsom is running full-page ads in Texas newspapers trolling Gov. Greg Abbott on guns and abortion."
2022-07-21 21:53:13+00:00,"

Abortion clinics in Louisiana can continue operating while a lawsuit challenging the states near total ban on abortions is resolved, a state judge ruled Thurs..."
2022-07-21 20:16:57+00:00,"Dear Friends &amp; Followers...please RT! This story broke my heart! Do not allow Goppers to bury &amp; ignore this story!
TX is an anti-abortion State! More children &amp; young adults will suffer in the future! The eyes of TX ignores them!! "
