created_at,text
2022-07-17 14:02:56+00:00, I find it very sad that w/attacks against Jews up 58% the 1st time I see an opinion piece authored by Rabbi of Temple Emanu El it is drawing a false equivalency btw BDS whose founder calls for destruction of Israel &amp; gun control.
2022-07-17 13:38:50+00:00," opinion piece by Jill Jacobs fails to identify her as an extreme left wing activist who only finds Israel at fault &amp; NEVER condemns violence by Palestinians. BDS founder admits goal is destruction of Israel. 
Tying BDS support to gun control is particularly heinous."
2022-07-15 17:38:03+00:00,"This is why we need gun control. Never should have happened. 
 











How Gabby Giffords found her voice again
"
2022-07-15 15:55:49+00:00,   We need gun control here in the USA   
2022-07-15 06:27:48+00:00,"My cousin was a freshman at Santa Fe HS in Texas, she crawled out of a window and ran! At Fing 14!!! We need sensible gun control NOW! "
2022-07-06 23:30:06+00:00, You are the poster child of red flag laws. Like admiting you have a desire to murder your grandkids on national television.  The only thing we need to justify gun control is your confession on replay.     
2022-07-06 20:07:49+00:00,John Fetterman Calls to Abolish Filibuster to Pass Gun Control  via 
2022-07-06 19:58:49+00:00,Gabby Giffords Gun Control Group Spending $10 Million to Win Congressional Seats in Six States  via 
2022-07-06 18:57:07+00:00,ABC: Who Better Than Attempted Reagan Assassin to Tout Gun Control?  
2022-07-06 03:20:48+00:00, Hes a Woke Mass Shooter. He not contradict their gun control agenda but contradict their woke agenda.
2022-07-06 01:02:14+00:00, Then he can shut up about gun control.
2022-07-05 02:28:10+00:00,"Remember the ""most significant gun control legislation"" in 30 years? Signed a few days ago. So Republicans can say they did something and move on. This insanity is exhausting."
2022-07-01 14:05:07+00:00,"Yall over here celebrating what you THINK is prayer being put back in school - so when the next school shooting happens (because theres still no true gun control) what yall gon blame it on?

If prayer stopped things like this from happening nothing like this would happen  "
2022-07-01 13:38:03+00:00,"How yall gonna let biden give you a lecture on Gun control when hes the same Mf who left 300,000 Guns for Taliban ?????"
2022-06-26 18:02:38+00:00, So protecting democracy means freedom to kill unborn children. Just 2 weeks ago a gunman kills children at a elementary school. You scream we need gun control we need to protect the children. So isnt this contradiction because  is still protecting the children.
2022-06-26 17:15:12+00:00,"        1) far left and liberal are not the same thing, and your lack of understanding of political ideology shows how ignorant you are 
2) Abortion isn about killing babies for the same reason you morons cry about gun control not being about killing kids"
2022-06-25 18:19:13+00:00,"How is it that we cant even speak about gun control because that is our constitutional right, but when a woman wants to do what she pleases with HER body its a crime ? This is America ."
2022-06-25 16:00:24+00:00, You violated our 2nd amendment right to bear arms with gun control bill.
2022-06-24 21:15:19+00:00,"Ted Cruz calls for Senate to reject gun control, support his &amp; Senator Barrasso's alternative  via "
2022-06-24 21:05:55+00:00,This is a Sad ass country that we live in. how is banning abortions more important than gun control/mass killings which has been happening a lot more lately especially now. We have police out here being serial killers on the low with sucky ass training doing whatever but they
2022-06-24 15:28:38+00:00,"Where is the gun control bans , its just not making sense to me"
2022-06-24 14:30:33+00:00,Roe v. Wade getting overturned and the striking down of New York gun control laws? the Supreme Court IS A FUCKING JOKE.
